"","GeneID","Symbol","Description","Synonyms","GeneType","EnsemblGeneID","Status","ChrAcc","ChrStart","ChrStop","Orientation","Length","GOFunctionID","GOProcessID","GOComponentID","GOFunction","GOProcess","GOComponent"
"PLEKHN1",84069,"PLEKHN1","pleckstrin homology domain containing N1","CLPABP","protein-coding","ENSG00000187583","active","NC_000001.11","965820","975865","positive",4005,"GO:0001786///GO:0005515///GO:0070300///GO:1901612///GO:1901981","GO:0001666///GO:0043065///GO:0061158","GO:0005739///GO:0005856///GO:0005886///GO:0031966","phosphatidylserine binding///protein binding///phosphatidic acid binding///cardiolipin binding///phosphatidylinositol phosphate binding","response to hypoxia///positive regulation of apoptotic process///3'-UTR-mediated mRNA destabilization","mitochondrion///cytoskeleton///plasma membrane///mitochondrial membrane"
"PERM1",84808,"PERM1","PPARGC1 and ESRR induced regulator, muscle 1","C1orf170","protein-coding","ENSG00000187642","active","NC_000001.11","975198","982276","negative",3615,"","GO:0006355///GO:0014850","GO:0005634///GO:0005737","","regulation of DNA-templated transcription///response to muscle activity","nucleus///cytoplasm"
"HES4",57801,"HES4","hes family bHLH transcription factor 4","bHLHb42","protein-coding","ENSG00000188290","active","NC_000001.11","998962","1001052","negative",1920,"GO:0000978///GO:0000981///GO:0005515///GO:0046983","GO:0006357///GO:0007399///GO:0009952///GO:0030154","GO:0000785///GO:0005634","RNA polymerase II cis-regulatory region sequence-specific DNA binding///DNA-binding transcription factor activity, RNA polymerase II-specific///protein binding///protein dimerization activity","regulation of transcription by RNA polymerase II///nervous system development///anterior/posterior pattern specification///cell differentiation","chromatin///nucleus"
"ISG15",9636,"ISG15","ISG15 ubiquitin like modifier","G1P2|IFI15|IMD38|IP17|UCRP|hUCRP","protein-coding","ENSG00000187608","active","NC_000001.11","1013497","1014540","positive",637,"GO:0003735///GO:0005178///GO:0005515///GO:0031386///GO:0031625","GO:0007229///GO:0009615///GO:0016567///GO:0019941///GO:0030501///GO:0031397///GO:0032020///GO:0032461///GO:0032649///GO:0032728///GO:0032729///GO:0032733///GO:0034340///GO:0042742///GO:0045071///GO:0045648///GO:0051607///GO:0060339///GO:0070585","GO:0005576///GO:0005634///GO:0005654///GO:0005737///GO:0005829///GO:0022627","structural constituent of ribosome///integrin binding///protein binding///protein tag///ubiquitin protein ligase binding","integrin-mediated signaling pathway///response to virus///protein ubiquitination///modification-dependent protein catabolic process///positive regulation of bone mineralization///negative regulation of protein ubiquitination///ISG15-protein conjugation///positive regulation of protein oligomerization///regulation of type II interferon production///positive regulation of interferon-beta production///positive regulation of type II interferon production///positive regulation of interleukin-10 production///response to type I interferon///defense response to bacterium///negative regulation of viral genome replication///positive regulation of erythrocyte differentiation///defense response to virus///negative regulation of type I interferon-mediated signaling pathway///protein localization to mitochondrion","extracellular region///nucleus///nucleoplasm///cytoplasm///cytosol///cytosolic small ribosomal subunit"
"AGRN",375790,"AGRN","agrin","AGRIN|CMS8|CMSPPD","protein-coding","ENSG00000188157","active","NC_000001.11","1020102","1056119","positive",8127,"GO:0002162///GO:0005200///GO:0005201///GO:0005509///GO:0005515///GO:0033691///GO:0035374///GO:0043236///GO:0043395","GO:0007010///GO:0007165///GO:0007213///GO:0007528///GO:0009887///GO:0009888///GO:0043113///GO:0043547///GO:0045162///GO:0045887///GO:0045944///GO:0050808///GO:0051491","GO:0005576///GO:0005604///GO:0005796///GO:0005886///GO:0043202///GO:0045202///GO:0062023///GO:0070062","dystroglycan binding///structural constituent of cytoskeleton///extracellular matrix structural constituent///calcium ion binding///protein binding///sialic acid binding///chondroitin sulfate binding///laminin binding///heparan sulfate proteoglycan binding","cytoskeleton organization///signal transduction///G protein-coupled acetylcholine receptor signaling pathway///neuromuscular junction development///animal organ morphogenesis///tissue development///receptor clustering///positive regulation of GTPase activity///clustering of voltage-gated sodium channels///positive regulation of synaptic assembly at neuromuscular junction///positive regulation of transcription by RNA polymerase II///synapse organization///positive regulation of filopodium assembly","extracellular region///basement membrane///Golgi lumen///plasma membrane///lysosomal lumen///synapse///collagen-containing extracellular matrix///extracellular exosome"
"LOC100288175",100288175,"LOC100288175","uncharacterized LOC100288175","","ncRNA","ENSG00000291156","active","NC_000001.11","1059734","1066453","positive",974,"","","","","",""
"LOC112267874",112267874,"LOC112267874","replaced by ID 105378948","","","","secondary","NC_000001.11","1065635","1071341","negative",2703,"","","","","",""
"LOC105378948",105378948,"LOC105378948","uncharacterized LOC105378948","","ncRNA","","active","NC_000001.11","1065635","1068554","negative",2920,"","","","","",""
"C1orf159",54991,"C1orf159","chromosome 1 open reading frame 159","","protein-coding","ENSG00000131591","active","NC_000001.11","1081823","1116089","negative",2432,"","","GO:0016020","","","membrane"
"TNFRSF18",8784,"TNFRSF18","TNF receptor superfamily member 18","AITR|CD357|ENERGEN|GITR|GITR-D","protein-coding","ENSG00000186891","active","NC_000001.11","1203508","1207901","negative",2457,"GO:0005031///GO:0005515","GO:0002687///GO:0006915///GO:0007165///GO:0033209///GO:0042531///GO:0043066///GO:0045785","GO:0005576///GO:0005886///GO:0009897","tumor necrosis factor receptor activity///protein binding","positive regulation of leukocyte migration///apoptotic process///signal transduction///tumor necrosis factor-mediated signaling pathway///positive regulation of tyrosine phosphorylation of STAT protein///negative regulation of apoptotic process///positive regulation of cell adhesion","extracellular region///plasma membrane///external side of plasma membrane"
"TNFRSF4",7293,"TNFRSF4","TNF receptor superfamily member 4","ACT35|CD134|IMD16|OX40|TXGP1L","protein-coding","ENSG00000186827","active","NC_000001.11","1211326","1216812","negative",3671,"GO:0001618///GO:0005031///GO:0005515","GO:0002639///GO:0006954///GO:0006955///GO:0030890///GO:0033209///GO:0042098///GO:0043433///GO:0045892///GO:0046718","GO:0005886///GO:0009897///GO:0009986","virus receptor activity///tumor necrosis factor receptor activity///protein binding","positive regulation of immunoglobulin production///inflammatory response///immune response///positive regulation of B cell proliferation///tumor necrosis factor-mediated signaling pathway///T cell proliferation///negative regulation of DNA-binding transcription factor activity///negative regulation of DNA-templated transcription///viral entry into host cell","plasma membrane///external side of plasma membrane///cell surface"
"SDF4",51150,"SDF4","stromal cell derived factor 4","Cab45|SDF-4","protein-coding","ENSG00000078808","active","NC_000001.11","1216908","1232067","negative",4070,"GO:0005509///GO:0005515///GO:0042802","GO:0009650///GO:0017156///GO:0021549///GO:0045444///GO:0045471///GO:0070625///GO:0099558","GO:0005737///GO:0005770///GO:0005783///GO:0005794///GO:0005796///GO:0005886///GO:0016020///GO:0032059///GO:0070062","calcium ion binding///protein binding///identical protein binding","UV protection///calcium-ion regulated exocytosis///cerebellum development///fat cell differentiation///response to ethanol///zymogen granule exocytosis///maintenance of synapse structure","cytoplasm///late endosome///endoplasmic reticulum///Golgi apparatus///Golgi lumen///plasma membrane///membrane///bleb///extracellular exosome"
"B3GALT6",126792,"B3GALT6","beta-1,3-galactosyltransferase 6","ALGAZ|EDSP2|EDSSPD2|SEMDJL1|beta3GalT6","protein-coding","ENSG00000176022","active","NC_000001.11","1232237","1235041","positive",2805,"GO:0008194///GO:0016757///GO:0035250///GO:0047220","GO:0006024///GO:0006486///GO:0015012///GO:0030166///GO:0030203///GO:0030206","GO:0000139///GO:0005794///GO:0005797///GO:0016020///GO:0032580","UDP-glycosyltransferase activity///glycosyltransferase activity///UDP-galactosyltransferase activity///galactosylxylosylprotein 3-beta-galactosyltransferase activity","glycosaminoglycan biosynthetic process///protein glycosylation///heparan sulfate proteoglycan biosynthetic process///proteoglycan biosynthetic process///glycosaminoglycan metabolic process///chondroitin sulfate biosynthetic process","Golgi membrane///Golgi apparatus///Golgi medial cisterna///membrane///Golgi cisterna membrane"
"UBE2J2",118424,"UBE2J2","ubiquitin conjugating enzyme E2 J2","NCUBE-2|NCUBE2|PRO2121|UBC6","protein-coding","ENSG00000160087","active","NC_000001.11","1253912","1273854","negative",4337,"GO:0005515///GO:0005524///GO:0031625///GO:0061631","GO:0000209///GO:0006986///GO:0030433///GO:1903955","GO:0000151///GO:0005634///GO:0005783///GO:0005789///GO:0005829","protein binding///ATP binding///ubiquitin protein ligase binding///ubiquitin conjugating enzyme activity","protein polyubiquitination///response to unfolded protein///ubiquitin-dependent ERAD pathway///positive regulation of protein targeting to mitochondrion","ubiquitin ligase complex///nucleus///endoplasmic reticulum///endoplasmic reticulum membrane///cytosol"
"SCNN1D",6339,"SCNN1D","sodium channel epithelial 1 subunit delta","ENaCd|ENaCdelta|SCNED|dNaCh","protein-coding","ENSG00000162572","active","NC_000001.11","1280436","1292029","positive",3054,"GO:0005515///GO:0015280","GO:0006814///GO:0006883///GO:0008217///GO:0035725///GO:0036254///GO:0050914///GO:0050915///GO:0071468///GO:0098719///GO:1904045///GO:1904117","GO:0005886///GO:0015629///GO:0016020///GO:0034706","protein binding///ligand-gated sodium channel activity","sodium ion transport///cellular sodium ion homeostasis///regulation of blood pressure///sodium ion transmembrane transport///cellular response to amiloride///sensory perception of salty taste///sensory perception of sour taste///cellular response to acidic pH///sodium ion import across plasma membrane///cellular response to aldosterone///cellular response to vasopressin","plasma membrane///actin cytoskeleton///membrane///sodium channel complex"
"ACAP3",116983,"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","CENTB5","protein-coding","ENSG00000131584","active","NC_000001.11","1292384","1307930","negative",6632,"GO:0005096///GO:0046872","GO:0001764///GO:0010975///GO:0050790","GO:0030426","GTPase activator activity///metal ion binding","neuron migration///regulation of neuron projection development///regulation of catalytic activity","growth cone"
"PUSL1",126789,"PUSL1","pseudouridine synthase like 1","","protein-coding","ENSG00000169972","active","NC_000001.11","1308563","1311677","positive",1412,"GO:0003723///GO:0009982","GO:0031119","GO:0005739///GO:0043231","RNA binding///pseudouridine synthase activity","tRNA pseudouridine synthesis","mitochondrion///intracellular membrane-bounded organelle"
"INTS11",54973,"INTS11","integrator complex subunit 11","CPSF3L|CPSF73L|INT11|RC-68|RC68","protein-coding","ENSG00000127054","active","NC_000001.11","1311585","1324687","negative",2629,"GO:0004521///GO:0005515","GO:0016180///GO:0034243///GO:0090502","GO:0005634///GO:0005654///GO:0005737///GO:0005829///GO:0032039///GO:0072562","endoribonuclease activity///protein binding","snRNA processing///regulation of transcription elongation by RNA polymerase II///RNA phosphodiester bond hydrolysis, endonucleolytic","nucleus///nucleoplasm///cytoplasm///cytosol///integrator complex///blood microparticle"
"CPTP",80772,"CPTP","ceramide-1-phosphate transfer protein","GLTPD1","protein-coding","ENSG00000224051","active","NC_000001.11","1324757","1328896","positive",3041,"GO:0005543///GO:1902387///GO:1902388","GO:0006687///GO:0010507///GO:0032691///GO:0035627///GO:0046836///GO:0120009///GO:1900226///GO:1902389","GO:0005640///GO:0005794///GO:0005829///GO:0005886///GO:0010008","phospholipid binding///ceramide 1-phosphate binding///ceramide 1-phosphate transfer activity","glycosphingolipid metabolic process///negative regulation of autophagy///negative regulation of interleukin-1 beta production///ceramide transport///glycolipid transport///intermembrane lipid transfer///negative regulation of NLRP3 inflammasome complex assembly///ceramide 1-phosphate transport","nuclear outer membrane///Golgi apparatus///cytosol///plasma membrane///endosome membrane"
"DVL1",1855,"DVL1","dishevelled segment polarity protein 1","DRS2|DVL|DVL1L1|DVL1P1","protein-coding","ENSG00000107404","active","NC_000001.11","1335278","1349418","negative",3343,"GO:0005109///GO:0005515///GO:0008013///GO:0019899///GO:0019901///GO:0031267///GO:0042802","GO:0001505///GO:0001934///GO:0006355///GO:0006469///GO:0007269///GO:0007411///GO:0007528///GO:0010976///GO:0021915///GO:0022007///GO:0031122///GO:0032091///GO:0032436///GO:0032880///GO:0034504///GO:0035176///GO:0035372///GO:0035556///GO:0035567///GO:0043113///GO:0045944///GO:0048668///GO:0048675///GO:0048813///GO:0050808///GO:0050821///GO:0060070///GO:0060071///GO:0060134///GO:0060997///GO:0071340///GO:0090103///GO:0090179///GO:0099054///GO:0099175///GO:0150012///GO:1905386///GO:2000300///GO:2000463","GO:0005829///GO:0005874///GO:0014069///GO:0016328///GO:0030136///GO:0030426///GO:0031410///GO:0043005///GO:0043025///GO:0043197///GO:0045202///GO:0098685///GO:0098793///GO:0098978///GO:0098992///GO:1990909","frizzled binding///protein binding///beta-catenin binding///enzyme binding///protein kinase binding///small GTPase binding///identical protein binding","regulation of neurotransmitter levels///positive regulation of protein phosphorylation///regulation of DNA-templated transcription///negative regulation of protein kinase activity///neurotransmitter secretion///axon guidance///neuromuscular junction development///positive regulation of neuron projection development///neural tube development///convergent extension involved in neural plate elongation///cytoplasmic microtubule organization///negative regulation of protein binding///positive regulation of proteasomal ubiquitin-dependent protein catabolic process///regulation of protein localization///protein localization to nucleus///social behavior///protein localization to microtubule///intracellular signal transduction///non-canonical Wnt signaling pathway///receptor clustering///positive regulation of transcription by RNA polymerase II///collateral sprouting///axon extension///dendrite morphogenesis///synapse organization///protein stabilization///canonical Wnt signaling pathway///Wnt signaling pathway, planar cell polarity pathway///prepulse inhibition///dendritic spine morphogenesis///skeletal muscle acetylcholine-gated channel clustering///cochlea morphogenesis///planar cell polarity pathway involved in neural tube closure///presynapse assembly///regulation of postsynapse organization///positive regulation of neuron projection arborization///positive regulation of protein localization to presynapse///regulation of synaptic vesicle exocytosis///positive regulation of excitatory postsynaptic potential","cytosol///microtubule///postsynaptic density///lateral plasma membrane///clathrin-coated vesicle///growth cone///cytoplasmic vesicle///neuron projection///neuronal cell body///dendritic spine///synapse///Schaffer collateral - CA1 synapse///presynapse///glutamatergic synapse///neuronal dense core vesicle///Wnt signalosome"
"MXRA8",54587,"MXRA8","matrix remodeling associated 8","ASP3","protein-coding","ENSG00000162576","active","NC_000001.11","1352689","1363541","negative",4842,"GO:0003674///GO:0005515","GO:0007155///GO:0030154///GO:0060857","GO:0005634///GO:0005788///GO:0005923///GO:0009986///GO:0060170///GO:0070062","molecular_function///protein binding","cell adhesion///cell differentiation///establishment of glial blood-brain barrier","nucleus///endoplasmic reticulum lumen///bicellular tight junction///cell surface///ciliary membrane///extracellular exosome"
"AURKAIP1",54998,"AURKAIP1","aurora kinase A interacting protein 1","AIP|AKIP|MRP-S38","protein-coding","ENSG00000175756","active","NC_000001.11","1373730","1375516","negative",1484,"GO:0005515","GO:0006397///GO:0032543///GO:0045839///GO:0045862","GO:0005634///GO:0005654///GO:0005739///GO:0005743///GO:0005763///GO:0043231","protein binding","mRNA processing///mitochondrial translation///negative regulation of mitotic nuclear division///positive regulation of proteolysis","nucleus///nucleoplasm///mitochondrion///mitochondrial inner membrane///mitochondrial small ribosomal subunit///intracellular membrane-bounded organelle"
"CCNL2",81669,"CCNL2","cyclin L2","ANIA-6B|CCNM|CCNS|HCLA-ISO|HLA-ISO|PCEE|SB138","protein-coding","ENSG00000221978","active","NC_000001.11","1385711","1399342","negative",5817,"GO:0005515///GO:0016538","GO:0006357///GO:0042981///GO:0043484///GO:0046605///GO:0050790///GO:0051726","GO:0000307///GO:0005634///GO:0005654///GO:0016607///GO:0043231","protein binding///cyclin-dependent protein serine/threonine kinase regulator activity","regulation of transcription by RNA polymerase II///regulation of apoptotic process///regulation of RNA splicing///regulation of centrosome cycle///regulation of catalytic activity///regulation of cell cycle","cyclin-dependent protein kinase holoenzyme complex///nucleus///nucleoplasm///nuclear speck///intracellular membrane-bounded organelle"
"MRPL20-AS1",148413,"MRPL20-AS1","MRPL20 antisense RNA 1","","ncRNA","ENSG00000224870","active","NC_000001.11","1399530","1402046","positive",1748,"","","","","",""
"MRPL20",55052,"MRPL20","mitochondrial ribosomal protein L20","L20mt|MRP-L20","protein-coding","ENSG00000242485","active","NC_000001.11","1401909","1407293","negative",1045,"GO:0003723///GO:0003735///GO:0005515///GO:0019843","GO:0000027///GO:0032543","GO:0005739///GO:0005743///GO:0005761///GO:0005762","RNA binding///structural constituent of ribosome///protein binding///rRNA binding","ribosomal large subunit assembly///mitochondrial translation","mitochondrion///mitochondrial inner membrane///mitochondrial ribosome///mitochondrial large ribosomal subunit"
"VWA1",64856,"VWA1","von Willebrand factor A domain containing 1","HMNMYO|WARP","protein-coding","ENSG00000179403","active","NC_000001.11","1435690","1442882","positive",4492,"GO:0005201///GO:0042802","GO:0030198///GO:0048266","GO:0005604///GO:0005614///GO:0005615///GO:0005788///GO:0062023///GO:0070062","extracellular matrix structural constituent///identical protein binding","extracellular matrix organization///behavioral response to pain","basement membrane///interstitial matrix///extracellular space///endoplasmic reticulum lumen///collagen-containing extracellular matrix///extracellular exosome"
"ATAD3B",83858,"ATAD3B","ATPase family AAA domain containing 3B","AAA-TOB3|TOB3","protein-coding","ENSG00000160072","active","NC_000001.11","1471732","1509466","positive",6268,"GO:0005524///GO:0016887","GO:0007005","GO:0005739///GO:0005743///GO:0005886///GO:0030667///GO:0101003","ATP binding///ATP hydrolysis activity","mitochondrion organization","mitochondrion///mitochondrial inner membrane///plasma membrane///secretory granule membrane///ficolin-1-rich granule membrane"
"ATAD3A",55210,"ATAD3A","ATPase family AAA domain containing 3A","HAYOS|PHRINL","protein-coding","ENSG00000197785","active","NC_000001.11","1512143","1534687","positive",2885,"GO:0005515///GO:0005524///GO:0016887","GO:0001558///GO:0007005///GO:0043066///GO:0140374","GO:0005739///GO:0005743///GO:0042645","protein binding///ATP binding///ATP hydrolysis activity","regulation of cell growth///mitochondrion organization///negative regulation of apoptotic process///antiviral innate immune response","mitochondrion///mitochondrial inner membrane///mitochondrial nucleoid"
"SSU72",29101,"SSU72","SSU72 homolog, RNA polymerase II CTD phosphatase","HSPC182|PNAS-120","protein-coding","ENSG00000160075","active","NC_000001.11","1541673","1574863","negative",1284,"GO:0005515///GO:0008420///GO:0017018","GO:0006369///GO:0006378///GO:0070940","GO:0005654///GO:0005829///GO:0005847","protein binding///RNA polymerase II CTD heptapeptide repeat phosphatase activity///myosin phosphatase activity","termination of RNA polymerase II transcription///mRNA polyadenylation///dephosphorylation of RNA polymerase II C-terminal domain","nucleoplasm///cytosol///mRNA cleavage and polyadenylation specificity factor complex"
"FNDC10",643988,"FNDC10","fibronectin type III domain containing 10","C1orf233","protein-coding","ENSG00000228594","active","NC_000001.11","1598012","1600135","negative",2124,"","","GO:0016020","","","membrane"
"MIB2",142678,"MIB2","MIB E3 ubiquitin protein ligase 2","ZZANK1|ZZZ5","protein-coding","ENSG00000197530","active","NC_000001.11","1613730","1630610","positive",9692,"GO:0003779///GO:0004842///GO:0005515///GO:0008270","GO:0007219///GO:0016567///GO:0043123","GO:0005737///GO:0005768///GO:0005829","actin binding///ubiquitin-protein transferase activity///protein binding///zinc ion binding","Notch signaling pathway///protein ubiquitination///positive regulation of I-kappaB kinase/NF-kappaB signaling","cytoplasm///endosome///cytosol"
"MMP23B",8510,"MMP23B","matrix metallopeptidase 23B","MIFR|MIFR-1|MMP22|MMP23A","protein-coding","ENSG00000189409","active","NC_000001.11","1631681","1635638","positive",2764,"GO:0004222///GO:0008237///GO:0008270","GO:0000003///GO:0006508///GO:0030198///GO:0030574","GO:0005615///GO:0005789///GO:0031012///GO:0062023","metalloendopeptidase activity///metallopeptidase activity///zinc ion binding","reproduction///proteolysis///extracellular matrix organization///collagen catabolic process","extracellular space///endoplasmic reticulum membrane///extracellular matrix///collagen-containing extracellular matrix"
"CDK11B",984,"CDK11B","cyclin dependent kinase 11B","CDC2L1|CDK11|CDK11-p110|CDK11-p46|CDK11-p58|CLK-1|PITSLREA|PK58|p58|p58CDC2L1|p58CLK-1","protein-coding","ENSG00000248333","active","NC_000001.11","1635225","1659619","negative",4363,"GO:0003723///GO:0004672///GO:0004674///GO:0004693///GO:0005515///GO:0005524///GO:0106310","GO:0000278///GO:0001558///GO:0006355///GO:0006468///GO:0006915///GO:0007346///GO:0050684","GO:0005634///GO:0005737","RNA binding///protein kinase activity///protein serine/threonine kinase activity///cyclin-dependent protein serine/threonine kinase activity///protein binding///ATP binding///protein serine kinase activity","mitotic cell cycle///regulation of cell growth///regulation of DNA-templated transcription///protein phosphorylation///apoptotic process///regulation of mitotic cell cycle///regulation of mRNA processing","nucleus///cytoplasm"
"SLC35E2B",728661,"SLC35E2B","solute carrier family 35 member E2B","SLC35E2","protein-coding","ENSG00000189339","active","NC_000001.11","1659798","1692795","negative",6908,"GO:0015297","GO:0001835///GO:0055085","GO:0005794///GO:0016020","antiporter activity","blastocyst hatching///transmembrane transport","Golgi apparatus///membrane"
"CDK11A",728642,"CDK11A","cyclin dependent kinase 11A","CDC2L2|CDC2L3|CDK11-p110|CDK11-p46|CDK11-p58|PITSLRE|p58GTA","protein-coding","ENSG00000008128","active","NC_000001.11","1702379","1724357","negative",3050,"GO:0004672///GO:0004674///GO:0004693///GO:0005524///GO:0106310","GO:0000278///GO:0001558///GO:0006355///GO:0006468///GO:0006915///GO:0007346///GO:0050684","GO:0005634///GO:0005737","protein kinase activity///protein serine/threonine kinase activity///cyclin-dependent protein serine/threonine kinase activity///ATP binding///protein serine kinase activity","mitotic cell cycle///regulation of cell growth///regulation of DNA-templated transcription///protein phosphorylation///apoptotic process///regulation of mitotic cell cycle///regulation of mRNA processing","nucleus///cytoplasm"
"SLC35E2A",9906,"SLC35E2A","solute carrier family 35 member E2A","SLC35E2","pseudo","","active","NC_000001.11","1724838","1745999","negative",7297,"GO:0005515///GO:0015297","GO:0055085","GO:0005794///GO:0016020","protein binding///antiporter activity","transmembrane transport","Golgi apparatus///membrane"
"LOC112268218",112268218,"LOC112268218","uncharacterized LOC112268218","","ncRNA","","active","NC_000001.11","1745725","1751773","positive",2032,"","","","","",""
"NADK",65220,"NADK","NAD kinase","dJ283E3.1","protein-coding","ENSG00000008130","active","NC_000001.11","1751232","1780509","negative",5092,"GO:0003951///GO:0005515///GO:0005524///GO:0046872","GO:0006741///GO:0016310///GO:0019674///GO:0046034","GO:0005829","NAD+ kinase activity///protein binding///ATP binding///metal ion binding","NADP biosynthetic process///phosphorylation///NAD metabolic process///ATP metabolic process","cytosol"
"GNB1",2782,"GNB1","G protein subunit beta 1","HG2A|MDS|MRD42","protein-coding","ENSG00000078369","active","NC_000001.11","1785285","1891117","negative",3494,"GO:0003924///GO:0005515///GO:0030159///GO:0044877///GO:0051020","GO:0007165///GO:0007186///GO:0007191///GO:0007200///GO:0007213///GO:0007265///GO:0008283///GO:0050909///GO:0060041///GO:0071380///GO:0071870","GO:0005737///GO:0005765///GO:0005829///GO:0005834///GO:0005886///GO:0016020///GO:0045202///GO:0070062///GO:0097381///GO:1903561","GTPase activity///protein binding///signaling receptor complex adaptor activity///protein-containing complex binding///GTPase binding","signal transduction///G protein-coupled receptor signaling pathway///adenylate cyclase-activating dopamine receptor signaling pathway///phospholipase C-activating G protein-coupled receptor signaling pathway///G protein-coupled acetylcholine receptor signaling pathway///Ras protein signal transduction///cell population proliferation///sensory perception of taste///retina development in camera-type eye///cellular response to prostaglandin E stimulus///cellular response to catecholamine stimulus","cytoplasm///lysosomal membrane///cytosol///heterotrimeric G-protein complex///plasma membrane///membrane///synapse///extracellular exosome///photoreceptor disc membrane///extracellular vesicle"
"FAAP20",199990,"FAAP20","FA core complex associated protein 20","C1orf86|FP7162","protein-coding","ENSG00000162585","active","NC_000001.11","2184457","2212720","negative",7844,"GO:0005515///GO:0031593///GO:0043130///GO:0046872///GO:0070530///GO:0140036","GO:0006513///GO:0006974///GO:0019985///GO:0036297","GO:0000785///GO:0005654///GO:0005694///GO:0016604///GO:0030054///GO:0043240","protein binding///polyubiquitin modification-dependent protein binding///ubiquitin binding///metal ion binding///K63-linked polyubiquitin modification-dependent protein binding///ubiquitin-dependent protein binding","protein monoubiquitination///cellular response to DNA damage stimulus///translesion synthesis///interstrand cross-link repair","chromatin///nucleoplasm///chromosome///nuclear body///cell junction///Fanconi anaemia nuclear complex"
"LOC112268219",112268219,"LOC112268219","uncharacterized LOC112268219","","ncRNA","","active","NC_000001.11","2189788","2192458","positive",2671,"","","","","",""
